id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
822495,Artist Studio / loft,4319377,Alex,,Southern,22.236124982038543,114.15455440151855,Entire home/apt,754,5,2,2018-08-10,0.71,1,298
823455,"HK 2br for 4-6ppl
香港2臥1厅1浴可住4-6人 ",4319967,Zen,,Sham Shui Po,22.33454752679819,114.15992246393701,Entire home/apt,887,3,71,2017-07-05,1.04,4,195
825791,QUEEN BED - Austin Avenue T.S.T MTR,3820308,Dave,,Yau Tsim Mong,22.30174284436142,114.17686388303638,Entire home/apt,549,1,89,2018-05-11,1.29,14,145
830187,MTR Studio 2 Austin Avenue TST,4345949,Carolina,,Yau Tsim Mong,22.30139475530653,114.1762705833353,Entire home/apt,652,2,23,2014-06-10,0.34,9,362
835609,For Big group (CH) in busy Wan Chai,1452499,Sally,,Wan Chai,22.277317399668984,114.17577805505239,Entire home/apt,1711,3,207,2018-08-05,3.09,7,304
844447,Cozy Apartment in Wan Chai,4345080,Felix,,Wan Chai,22.275409787001262,114.17069911161965,Entire home/apt,761,1,22,2018-02-19,0.32,1,266
846482,Japanese style in Sai Ying Pun,4420092,Nicolas,,Central & Western,22.286380915474478,114.14055048667,Entire home/apt,667,3,88,2018-07-31,1.31,1,278
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,,Wan Chai,22.278120364855276,114.18182790547108,Entire home/apt,785,4,63,2018-08-12,1.09,1,233
850531,❤❤SuperHost's Private Bedroom on HK Island @TinHau,4441809,Super Host Gordon :-),,Wan Chai,22.279944761733205,114.18966225599641,Private room,306,2,416,2018-08-10,6.09,1,206
857403,舒適房間，2分鐘到地鐵站,4352371,Dennis,,Eastern,22.29132234351277,114.2033604965603,Private room,502,28,0,,,1,364
857837,Shared a 2 bed rm apt 3mins to MTR,4481461,Simon,,Wan Chai,22.27110619589563,114.17399200636814,Shared room,879,1,11,2017-11-10,0.17,6,364
860891,Two Bedroom Apartment W. MID-LEVELS,4509858,Akiei,,Central & Western,22.283511203483922,114.14120110846012,Entire home/apt,1020,30,0,,,4,365
860952,"NX to Times SQ,Causeway Bay &nr CEC",4393124,Matt,,Wan Chai,22.27812713416615,114.17964721934659,Entire home/apt,1130,2,127,2018-07-10,1.94,2,341
865757,The Prince of the Terrace,4422400,Darrick,,Central & Western,22.280480089809124,114.15281509823564,Entire home/apt,3925,8,6,2016-12-25,0.09,1,0
881740,"Tsim Sha Tsui, newly 2 beds apartment",4326731,Rain,,Yau Tsim Mong,22.297264330796896,114.17435590656996,Entire home/apt,879,2,243,2018-06-18,3.61,3,85
889462,Panoramic sea view apartment ,4719675,Eddy,,Southern,22.254366418727212,114.13234494196473,Entire home/apt,9797,14,0,,,1,365
890872,T061-2BRs Tourist Spots Lady St MK,1966274,Cs,,Yau Tsim Mong,22.31935110930834,114.16980394526396,Entire home/apt,903,1,191,2018-07-24,2.85,11,288
897942,"Tsim Sha Tsui, newly 2 beds apt. I.",4326731,Rain,,Yau Tsim Mong,22.295865065265353,114.17363444756506,Entire home/apt,879,2,271,2018-08-10,4.05,3,85
903169,"YAUMATEI Nice room, 21 Waterloo Rd",4584648,Ivy,,Yau Tsim Mong,22.3130952494109,114.16860666164911,Private room,188,30,1,2014-02-17,0.02,27,319
905982,New 1BR - Budget & sweet home in HK,1460867,Icycream,,Wan Chai,22.278704738404997,114.17669855339271,Private room,7850,365,2,2016-04-11,0.03,1,358
906165,Private Studio 4 persons Hong Kong,4850005,Beau,,Sham Shui Po,22.33065769666356,114.16139977377516,Entire home/apt,361,2,80,2018-08-01,1.69,4,80
911684,Wanchai Pigeon Burrow — Studio Flat,4891952,John,,Wan Chai,22.274532661866292,114.1727718700558,Entire home/apt,432,2,206,2018-08-12,4.28,5,41
923017,Comfort Home in Prince Edward Mtr 4 beds,4971086,Alice,,Yau Tsim Mong,22.32470810101495,114.16750798147426,Entire home/apt,1154,1,279,2018-07-31,4.32,10,268
926138,Lovely home Mong Kok MTR Railway 4 beds,4971086,Alice,,Yau Tsim Mong,22.323346024236727,114.1701720155127,Entire home/apt,1123,1,318,2018-08-12,4.78,10,124
944283,2 Bed Rooms Heart of Soho/Central,5100812,Nana,,Central & Western,22.284896496852408,114.15401980779431,Entire home/apt,1099,6,48,2018-07-25,0.72,2,235
956857,Cozy Room- Heart of Soho/Central,5100812,Nana,,Central & Western,22.284454148876957,114.15365609099601,Private room,400,6,2,2013-08-08,0.03,2,337
957513,"Hollywood Rd, Spacious and Sunny",5207666,James,,Central & Western,22.28665568539354,114.14629461237485,Entire home/apt,769,2,29,2018-07-12,0.44,1,349
968289,Mongkok 2Brs Queen Bed MTR 3m QUIET,2180835,Gloria,,Yau Tsim Mong,22.318458101871357,114.16964913284848,Entire home/apt,981,3,72,2018-06-24,1.10,2,328
970093,Quarry Bay Budget-Friendly Comfortable Room,5299333,Tiffany,,Eastern,22.28576875908976,114.21447076080015,Private room,353,1,1,2014-12-22,0.02,1,327
